2025-03-15 19:58:12.373 [info] Added views:workbench.panel.chat.view.copilot in workbench.panel.chat
2025-03-15 19:58:12.373 [info] Added views:workbench.panel.chat.view.edits in workbench.panel.chatEditing
2025-03-15 19:58:12.373 [info] Added views:outline in workbench.view.explorer
2025-03-15 19:58:12.373 [info] Added views:workbench.view.search in workbench.view.search
2025-03-15 19:58:12.373 [info] Added views:workbench.scm in workbench.view.scm
2025-03-15 19:58:12.373 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2025-03-15 19:58:12.373 [info] Added views:workbench.panel.output in workbench.panel.output
2025-03-15 19:58:12.373 [info] Added views:terminal in terminal
2025-03-15 19:58:12.373 [info] Added views:timeline in workbench.view.explorer
2025-03-15 19:58:12.373 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2025-03-15 19:58:12.552 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-03-15 19:58:12.977 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2025-03-15 19:58:13.295 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2025-03-15 20:25:19.939 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-15 20:25:20.004 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-15 20:25:20.599 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-15 20:25:21.754 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-15 20:25:22.353 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-15 20:25:31.329 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-15 20:25:31.829 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-15 20:25:32.077 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-15 20:25:32.576 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-15 20:59:14.111 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2025-03-15 20:59:14.112 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2025-03-15 20:59:17.190 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2025-03-15 20:59:17.196 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-03-15 21:06:43.055 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-15 21:06:43.455 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-15 21:06:43.457 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-15 21:06:45.605 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-15 21:06:45.608 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-15 21:06:48.903 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-15 21:06:48.917 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
2025-03-15 21:06:49.325 [info] Added views:CppReferencesView in workbench.view.extension.references-view
2025-03-15 21:40:41.551 [info] Removed views:CppReferencesView from workbench.view.extension.references-view
